firstName,lastName,temporaryDisplayName,personId,teamId,jersey,pos,heightFeet,heightInches,heightMeters,weightPounds,weightKilograms,dateOfBirthUTC,nbaDebutYear,yearsPro,collegeName,lastAffiliation,country
Ed,Davis,"Davis, Ed",202334,1610612739,21,C-F,6,9,2.06,218.0,98.9,1989-06-05,2010,11,North Carolina,North Carolina/USA,USA
Eric,Bledsoe,"Bledsoe, Eric",202339,1610612757,5,G,6,1,1.85,214.0,97.1,1989-12-09,2010,11,Kentucky,Kentucky/USA,USA
Avery,Bradley,"Bradley, Avery",202340,1610612747,20,G,6,3,1.9,180.0,81.6,1990-11-26,2010,11,Texas-Austin,Texas-Austin/USA,USA
Hassan,Whiteside,"Whiteside, Hassan",202355,1610612762,21,C,7,0,2.13,265.0,120.2,1989-06-13,2010,9,Marshall,Marshall/USA,USA
Nemanja,Bjelica,"Bjelica, Nemanja",202357,1610612744,8,F,6,9,2.06,234.0,106.1,1988-05-09,2015,6,Fenerbahce,Fenerbahce/Serbia,Serbia
Lance,Stephenson,"Stephenson, Lance",202362,1610612754,6,F,6,5,1.96,210.0,95.3,1990-09-05,2010,9,Cincinnati,Cincinnati/USA,USA
Ish,Smith,"Smith, Ish",202397,1610612764,4,G,6,0,1.83,175.0,79.4,1988-07-05,2010,11,Wake Forest,Wake Forest/USA,USA
Kyrie,Irving,"Irving, Kyrie",202681,1610612751,11,G,6,2,1.88,195.0,88.5,1992-03-23,2011,10,Duke,Duke/Australia,Australia
Tristan,Thompson,"Thompson, Tristan",202684,1610612741,3,C-F,6,9,2.06,254.0,115.2,1991-03-13,2011,10,Texas-Austin,Texas-Austin/Canada,Canada
Jonas,Valanciunas,"Valanciunas, Jonas",202685,1610612740,17,C,6,11,2.11,265.0,120.2,1992-05-06,2012,9,Lietuvos rytas Vilnius,Lietuvos rytas Vilnius/Lithuania,Lithuania
Bismack,Biyombo,"Biyombo, Bismack",202687,1610612756,18,C,6,8,2.03,255.0,115.7,1992-08-28,2011,10,Baloncesto Fuenlabrada,Baloncesto Fuenlabrada/DRC,DRC
Kemba,Walker,"Walker, Kemba",202689,1610612752,8,G,6,0,1.83,184.0,83.5,1990-05-08,2011,10,Connecticut,Connecticut/USA,USA
Klay,Thompson,"Thompson, Klay",202691,1610612744,11,G,6,6,1.98,220.0,99.8,1990-02-08,2011,8,Washington State,Washington State/USA,USA
Alec,Burks,"Burks, Alec",202692,1610612752,18,G,6,6,1.98,214.0,97.1,1991-07-20,2011,10,Colorado,Colorado/USA,USA
Markieff,Morris,"Morris, Markieff",202693,1610612748,8,F,6,9,2.06,245.0,111.1,1989-09-02,2011,10,Kansas,Kansas/USA,USA
Marcus,Morris Sr.,"Morris Sr., Marcus",202694,1610612746,8,F,6,8,2.03,218.0,98.9,1989-09-02,2011,10,Kansas,Kansas/USA,USA
Kawhi,Leonard,"Leonard, Kawhi",202695,1610612746,2,F,6,7,2.01,225.0,102.1,1991-06-29,2011,10,San Diego State,San Diego State/USA,USA
Nikola,Vucevic,"Vucevic, Nikola",202696,1610612741,9,C,6,10,2.08,260.0,117.9,1990-10-24,2011,10,Southern California,Southern California/Montenegro,Montenegro
Tobias,Harris,"Harris, Tobias",202699,1610612755,12,F,6,7,2.01,226.0,102.5,1992-07-15,2011,10,Tennessee,Tennessee/USA,USA
Reggie,Jackson,"Jackson, Reggie",202704,1610612746,1,G,6,2,1.88,208.0,94.3,1990-04-16,2011,10,Boston College,Boston College/USA,USA
Cory,Joseph,"Joseph, Cory",202709,1610612765,18,G,6,3,1.9,200.0,90.7,1991-08-20,2011,10,Texas-Austin,Texas-Austin/Canada,Canada
Jimmy,Butler,"Butler, Jimmy",202710,1610612748,22,F,6,7,2.01,230.0,104.3,1989-09-14,2011,10,Marquette,Marquette/USA,USA
Bojan,Bogdanovic,"Bogdanovic, Bojan",202711,1610612762,44,F,6,7,2.01,226.0,102.5,1989-04-18,2014,7,Fenerbahce,Fenerbahce/Croatia,Croatia
Davis,Bertans,"Bertans, Davis",202722,1610612742,44,F,6,10,2.08,225.0,102.1,1992-11-12,2016,5,Baskonia,Baskonia/Latvia,Latvia
Isaiah,Thomas,"Thomas, Isaiah",202738,1610612766,4,G,5,9,1.75,185.0,83.9,1989-02-07,2011,10,Washington,Washington/USA,USA
Anthony,Davis,"Davis, Anthony",203076,1610612747,3,F-C,6,10,2.08,253.0,114.8,1993-03-11,2012,9,Kentucky,Kentucky/USA,USA
Bradley,Beal,"Beal, Bradley",203078,1610612764,3,G,6,4,1.93,207.0,93.9,1993-06-28,2012,9,Florida,Florida/USA,USA
Damian,Lillard,"Lillard, Damian",203081,1610612757,0,G,6,2,1.88,195.0,88.5,1990-07-15,2012,9,Weber State,Weber State/USA,USA
Terrence,Ross,"Ross, Terrence",203082,1610612753,31,G-F,6,6,1.98,206.0,93.4,1991-02-05,2012,9,Washington,Washington/USA,USA
Andre,Drummond,"Drummond, Andre",203083,1610612751,0,C,6,10,2.08,279.0,126.6,1993-08-10,2012,9,Connecticut,Connecticut/USA,USA
Harrison,Barnes,"Barnes, Harrison",203084,1610612758,40,F,6,8,2.03,225.0,102.1,1992-05-30,2012,9,North Carolina,North Carolina/USA,USA
Austin,Rivers,"Rivers, Austin",203085,1610612743,25,G,6,4,1.93,200.0,90.7,1992-08-01,2012,9,Duke,Duke/USA,USA
Jeremy,Lamb,"Lamb, Jeremy",203087,1610612758,26,G-F,6,5,1.96,180.0,81.6,1992-05-30,2012,9,Connecticut,Connecticut/USA,USA
Maurice,Harkless,"Harkless, Maurice",203090,1610612758,8,F-G,6,7,2.01,220.0,99.8,1993-05-11,2012,9,St. John's,St. John's/USA,USA
Evan,Fournier,"Fournier, Evan",203095,1610612752,13,G-F,6,6,1.98,205.0,93.0,1992-10-29,2012,9,Poitiers Basket 86,Poitiers Basket 86/France,France
Tomas,Satoransky,"Satoransky, Tomas",203107,1610612764,31,G,6,7,2.01,210.0,95.3,1991-10-30,2016,5,FC Barcelona,FC Barcelona/Czech Republic,Czech Republic
Jae,Crowder,"Crowder, Jae",203109,1610612756,99,F,6,6,1.98,235.0,106.6,1990-07-06,2012,9,Marquette,Marquette/USA,USA
Draymond,Green,"Green, Draymond",203110,1610612744,23,F,6,6,1.98,230.0,104.3,1990-03-04,2012,9,Michigan State,Michigan State/USA,USA
Khris,Middleton,"Middleton, Khris",203114,1610612749,22,F,6,7,2.01,222.0,100.7,1991-08-12,2012,9,Texas A&M,Texas A&M/USA,USA
Will,Barton,"Barton, Will",203115,1610612743,5,G,6,5,1.96,181.0,82.1,1991-01-06,2012,9,Memphis,Memphis/USA,USA
Kent,Bazemore,"Bazemore, Kent",203145,1610612747,9,G-F,6,4,1.93,195.0,88.5,1989-07-01,2012,9,Old Dominion,Old Dominion/USA,USA
